Group,Virus,Treatment,Distance_bin,Number_of_sites
N74D-Dig0,N74D,Dig0,0–1 kb,4943
N74D-Dig0,N74D,Dig0,1–5 kb,14671
N74D-Dig0,N74D,Dig0,5–10 kb,10870
N74D-Dig0,N74D,Dig0,10–25 kb,14719
N74D-Dig0,N74D,Dig0,25–50 kb,8598
N74D-Dig0,N74D,Dig0,50–100 kb,5435
N74D-Dig0,N74D,Dig0,>100 kb,3906
N74D-Dig400,N74D,Dig400,0–1 kb,7816
N74D-Dig400,N74D,Dig400,1–5 kb,24477
N74D-Dig400,N74D,Dig400,5–10 kb,18299
N74D-Dig400,N74D,Dig400,10–25 kb,23700
N74D-Dig400,N74D,Dig400,25–50 kb,13478
N74D-Dig400,N74D,Dig400,50–100 kb,7762
N74D-Dig400,N74D,Dig400,>100 kb,4959
WT-Dig0,WT,Dig0,0–1 kb,21639
WT-Dig0,WT,Dig0,1–5 kb,54655
WT-Dig0,WT,Dig0,5–10 kb,33506
WT-Dig0,WT,Dig0,10–25 kb,33691
WT-Dig0,WT,Dig0,25–50 kb,11651
WT-Dig0,WT,Dig0,50–100 kb,4404
WT-Dig0,WT,Dig0,>100 kb,1872
WT-Dig400,WT,Dig400,0–1 kb,13501
WT-Dig400,WT,Dig400,1–5 kb,37578
WT-Dig400,WT,Dig400,5–10 kb,25055
WT-Dig400,WT,Dig400,10–25 kb,28356
WT-Dig400,WT,Dig400,25–50 kb,11615
WT-Dig400,WT,Dig400,50–100 kb,4855
WT-Dig400,WT,Dig400,>100 kb,2271
