Virus,Treatment,Replicate,Number_of_sites,Median_distance_bp,Q1_distance_bp,Q3_distance_bp
N74D,Dig0,1,15890,10504.0,3782.0,28571.5
N74D,Dig0,2,22150,10622.0,3731.2,29434.5
N74D,Dig0,3,25102,10787.5,3839.2,29673.2
N74D,Dig400,1,32004,9873.0,3638.8,26110.2
N74D,Dig400,2,30071,9765.0,3600.0,26444.0
N74D,Dig400,3,38416,9955.5,3628.0,26186.2
WT,Dig0,1,56504,5508.5,2095.0,13105.0
WT,Dig0,2,52736,5539.0,2099.0,13125.2
WT,Dig0,3,52178,5415.5,2085.0,12756.8
WT,Dig400,1,49214,6699.0,2526.0,16170.0
WT,Dig400,2,35213,6730.0,2616.0,16211.0
WT,Dig400,3,38804,6692.0,2586.8,16073.8
