Chromosome,Start,End,Replicate,CloneID,Orientation,Virus,Treatment,Start_b,End_b,Strand,GeneID,GeneName,TranscriptID,TranscriptName,Distance,Distance_to_TSS_bp
chr1,26608478,26608479,3,01_26608478,+,WT,Dig0,26606613,26606614,+,ENSG00000142669.9,SH3BGRL3,ENST00000319041.6,SH3BGRL3-002,1865,1865
chr1,101445340,101445341,1,01_101445340,+,N74D,Dig0,101455761,101455762,+,ENSG00000269175.1,AC093157.1,ENST00000593496.1,AC093157.1-201,10421,10421
chr1,76092456,76092457,2,01_76092456,+,N74D,Dig0,76107772,76107773,-,ENSG00000230863.2,RP4-595K12.2,ENST00000446582.2,RP4-595K12.2-001,15316,15316
chr1,108401296,108401297,3,01_108401296,+,WT,Dig400,108363518,108363519,-,ENSG00000134215.11,VAV3,ENST00000524574.1,VAV3-011,37778,37778
chr1,160556298,160556299,1,01_160556298,+,WT,Dig0,160549306,160549307,-,ENSG00000066294.10,CD84,ENST00000534968.1,CD84-201,6992,6992
chr1,205700291,205700292,3,01_205700291,-,WT,Dig0,205700480,205700481,-,ENSG00000201944.1,SNORA72,ENST00000365074.1,SNORA72.3-201,189,189
chr2,223773211,223773212,1,02_223773211,-,N74D,Dig400,223773803,223773804,+,ENSG00000123983.9,ACSL3,ENST00000542810.1,ACSL3-011,592,592
chr2,238930771,238930772,2,02_238930771,+,WT,Dig0,238933902,238933903,+,ENSG00000184182.14,UBE2F,ENST00000480828.1,UBE2F-021,3131,3131
chr2,197647205,197647206,2,02_197647205,+,N74D,Dig0,197645625,197645626,-,ENSG00000119041.6,GTF3C3,ENST00000466862.1,GTF3C3-007,1580,1580
chr3,141272214,141272215,3,03_141272214,+,N74D,Dig400,141297366,141297367,+,ENSG00000155903.7,RASA2,ENST00000505833.1,RASA2-006,25152,25152
chr3,9467593,9467594,3,03_9467593,-,N74D,Dig400,9468034,9468035,-,ENSG00000266001.1,AC018506.1,ENST00000578447.1,AC018506.1-201,441,441
chr3,37211330,37211331,3,03_37211330,-,N74D,Dig400,37216055,37216056,-,ENSG00000093167.13,LRRFIP2,ENST00000336686.4,LRRFIP2-001,4725,4725
chr3,128726888,128726889,1,03_128726888,-,WT,Dig0,128721533,128721534,-,ENSG00000114656.6,KIAA1257,ENST00000510149.1,KIAA1257-005,5355,5355
chr3,154016976,154016977,3,03_154016976,+,N74D,Dig400,154013116,154013117,-,ENSG00000174953.9,DHX36,ENST00000469977.1,DHX36-008,3860,3860
chr3,166261778,166261779,3,03_166261778,-,N74D,Dig400,166288551,166288552,-,ENSG00000244321.1,RP11-450H5.1,ENST00000495159.1,RP11-450H5.1-001,26773,26773
chr3,179697659,179697660,1,03_179697659,+,WT,Dig0,179692047,179692048,-,ENSG00000114757.14,PEX5L,ENST00000468741.1,PEX5L-006,5612,5612
chr4,95023,95024,2,04_95023,-,WT,Dig400,85621,85622,+,ENSG00000255436.2,Z95704.2,ENST00000380882.5,Z95704.2-201,9402,9402
chr4,109103781,109103782,1,04_109103781,+,WT,Dig0,109097444,109097445,+,ENSG00000232021.2,LEF1-AS1,ENST00000512129.1,LEF1-AS1-006,6337,6337
chr4,123285130,123285131,3,04_123285130,-,N74D,Dig400,123300121,123300122,+,ENSG00000164113.6,ADAD1,ENST00000446706.1,ADAD1-007,14991,14991
chr4,177249643,177249644,3,04_177249643,+,N74D,Dig0,177248107,177248108,+,ENSG00000129128.8,SPCS3,ENST00000507001.1,SPCS3-004,1536,1536
chr4,65655061,65655062,3,04_65655061,+,WT,Dig0,65633615,65633616,-,ENSG00000244669.1,RP11-158O16.1,ENST00000473356.1,RP11-158O16.1-001,21446,21446
chr5,10392076,10392077,2,05_10392076,-,N74D,Dig400,10387037,10387038,+,ENSG00000145495.10,MARCH6,ENST00000506131.1,MARCH6-008,5039,5039
chr5,107193710,107193711,2,05_107193710,+,WT,Dig400,107146330,107146331,+,ENSG00000251732.1,RN7SKP122,ENST00000515923.1,RN7SKP122-201,47380,47380
chr5,109117342,109117343,3,05_109117342,+,N74D,Dig400,109129876,109129877,+,ENSG00000112893.5,MAN2A1,ENST00000502261.1,MAN2A1-006,12534,12534
chr5,175913149,175913150,1,05_175913149,+,WT,Dig0,175919240,175919241,+,ENSG00000113194.8,FAF2,ENST00000504983.1,FAF2-006,6091,6091
chr5,39302148,39302149,3,05_39302148,+,WT,Dig400,39274630,39274631,-,ENSG00000082074.11,FYB,ENST00000510188.1,FYB-010,27518,27518
chr5,114592167,114592168,3,05_114592167,+,WT,Dig400,114588873,114588874,-,ENSG00000164219.5,PGGT1B,ENST00000296642.4,PGGT1B-005,3294,3294
chr6,26144191,26144192,1,06_26144191,+,WT,Dig0,26156559,26156560,+,ENSG00000168298.4,HIST1H1E,ENST00000304218.3,HIST1H1E-001,12368,12368
chr6,26373369,26373370,2,06_26373369,-,WT,Dig400,26372921,26372922,+,ENSG00000186470.9,BTN3A2,ENST00000604202.1,BTN3A2-017,448,448
chr6,47565580,47565581,2,06_47565580,-,WT,Dig400,47575608,47575609,+,ENSG00000198087.7,CD2AP,ENST00000486693.1,CD2AP-005,10028,10028
chr6,101039350,101039351,2,06_101039350,+,WT,Dig400,100978152,100978153,+,ENSG00000220695.1,RP1-121G13.3,ENST00000406773.1,RP1-121G13.3-001,61198,61198
chr6,34644494,34644495,1,06_34644494,-,WT,Dig400,34639733,34639734,-,ENSG00000196821.5,C6orf106,ENST00000374021.1,C6orf106-002,4761,4761
chr7,11175616,11175617,3,07_11175616,-,N74D,Dig0,11150608,11150609,+,ENSG00000106443.10,PHF14,ENST00000473050.1,PHF14-004,25008,25008
chr7,104713069,104713070,3,07_104713069,-,WT,Dig400,104717563,104717564,+,ENSG00000005483.15,KMT2E,ENST00000496191.1,KMT2E-015,4494,4494
chr7,135079667,135079668,1,07_135079667,+,WT,Dig0,135072639,135072640,-,ENSG00000080802.14,CNOT4,ENST00000473470.1,CNOT4-008,7028,7028
chr7,151932722,151932723,2,07_151932722,+,WT,Dig0,151936154,151936155,-,ENSG00000055609.13,KMT2C,ENST00000473186.1,KMT2C-002,3432,3432
chr8,48954222,48954223,2,08_48954222,-,N74D,Dig400,48954307,48954308,+,ENSG00000169139.7,UBE2V2,ENST00000520809.1,UBE2V2-002,85,85
chr8,104345767,104345768,3,08_104345767,+,N74D,Dig400,104312182,104312183,+,ENSG00000164930.7,FZD6,ENST00000521195.1,FZD6-005,33585,33585
chr8,133820684,133820685,1,08_133820684,+,N74D,Dig0,133818626,133818627,+,ENSG00000129292.16,PHF20L1,ENST00000469979.2,PHF20L1-007,2058,2058
chr8,74004596,74004597,3,08_74004596,+,N74D,Dig400,74005507,74005508,-,ENSG00000164764.10,SBSPON,ENST00000297354.6,SBSPON-001,911,911
chr8,99575769,99575770,1,08_99575769,+,N74D,Dig400,99560390,99560391,-,ENSG00000104375.11,STK3,ENST00000520440.1,STK3-013,15379,15379
chr8,130187877,130187878,3,08_130187877,+,WT,Dig0,130253496,130253497,-,ENSG00000250400.3,LINC00977,ENST00000509893.2,LINC00977-001,65619,65619
chr8,130861773,130861774,3,08_130861773,+,WT,Dig400,130859563,130859564,-,ENSG00000153310.14,FAM49B,ENST00000520887.1,FAM49B-028,2210,2210
chr8,145649844,145649845,2,08_145649844,+,WT,Dig400,145652366,145652367,-,ENSG00000160948.9,VPS28,ENST00000530836.1,VPS28-006,2522,2522
chr9,740339,740340,3,09_740339,+,WT,Dig400,732616,732617,+,ENSG00000107104.14,KANK1,ENST00000382286.1,KANK1-004,7723,7723
chr9,72970582,72970583,1,09_72970582,-,N74D,Dig400,72961308,72961309,+,ENSG00000198887.7,SMC5,ENST00000471372.1,SMC5-003,9274,9274
chr9,106872390,106872391,2,09_106872390,-,N74D,Dig0,106856845,106856846,+,ENSG00000136824.14,SMC2,ENST00000374787.3,SMC2-002,15545,15545
chr9,135911138,135911139,1,09_135911138,-,WT,Dig0,135906405,135906406,+,ENSG00000148308.13,GTF3C5,ENST00000485692.1,GTF3C5-008,4733,4733
chr9,36338012,36338013,1,09_36338012,+,WT,Dig400,36304921,36304922,-,ENSG00000215283.3,HMGB3P24,ENST00000433260.1,HMGB3P24-001,33091,33091
chr10,17730898,17730899,1,10_17730898,+,WT,Dig0,17726784,17726785,+,ENSG00000136738.10,STAM,ENST00000486183.1,STAM-004,4114,4114
chr10,121580739,121580740,3,10_121580739,-,WT,Dig400,121579019,121579020,+,ENSG00000198825.7,INPP5F,ENST00000490818.1,INPP5F-003,1720,1720
chr10,65021829,65021830,3,10_65021829,+,N74D,Dig400,65028635,65028636,-,ENSG00000171988.13,JMJD1C,ENST00000469152.1,JMJD1C-007,6806,6806
chr11,63966153,63966154,3,11_63966153,+,WT,Dig0,63964662,63964663,+,ENSG00000168439.12,STIP1,ENST00000538497.1,STIP1-007,1491,1491
chr11,85971306,85971307,3,11_85971306,-,N74D,Dig400,85974987,85974988,+,ENSG00000074266.13,EED,ENST00000533228.1,EED-010,3681,3681
chr11,10263914,10263915,1,11_10263914,-,WT,Dig0,10293806,10293807,-,ENSG00000254719.1,RP11-351I24.3,ENST00000532615.1,RP11-351I24.3-001,29892,29892
chr11,37466781,37466782,1,11_37466781,+,WT,Dig0,37723770,37723771,-,ENSG00000251838.1,SNORA31,ENST00000516029.1,SNORA31.3-201,256989,256989
chr11,106441514,106441515,1,11_106441514,-,N74D,Dig400,106672218,106672219,-,ENSG00000264542.1,AP001282.1,ENST00000578526.1,AP001282.1-201,230704,230704
chr11,127920312,127920313,3,11_127920312,-,N74D,Dig400,127811549,127811550,-,ENSG00000254612.2,RP11-676M6.1,ENST00000526843.2,RP11-676M6.1-001,108763,108763
chr11,134520519,134520520,1,11_134520519,-,WT,Dig400,134541918,134541919,-,ENSG00000254989.1,RP11-469N6.3,ENST00000529417.1,RP11-469N6.3-001,21399,21399
chr12,45617149,45617150,3,12_45617149,-,N74D,Dig0,45609903,45609904,+,ENSG00000177119.11,ANO6,ENST00000550630.1,ANO6-004,7246,7246
chr12,93238672,93238673,2,12_93238672,-,N74D,Dig400,93251855,93251856,+,ENSG00000258012.1,RP11-603K19.1,ENST00000551090.1,RP11-603K19.1-001,13183,13183
